995,camera,your children,no condition,1
995,sleep hours,law enforcement agencies,if the data is anonymous,1
995,playlists,your children,no condition,1
995,banking,neighbours,no condition,1
995,video call,skills,if the data is stored for as long as necessary for the purpose,1
995,sleep hours,assistant provider,no condition,1
995,sleep hours,law enforcement agencies,if the data is kept confidential,1
995,banking,your siblings,no condition,1
995,video call,law enforcement agencies,if you are notified,1
995,camera,skills,if you can delete or review the data,1
995,camera,your housemates,no condition,1
995,location,assistant provider,no condition,1
829,call assistant,assistant provider,if the data is stored for as long as necessary for the purpose,1
829,video call,advertising agencies,no condition,1
829,video call,your partner,no condition,1
829,shopping,law enforcement agencies,no condition,0
829,shopping,advertising agencies,no condition,0
829,call assistant,skills,if you can delete or review the data,1
829,email,skills,if the data is anonymous,1
829,shopping,house keeper/helper,no condition,0
829,thermostat,assistant provider,if the data is kept confidential,0
829,thermostat,skills,no condition,0
829,thermostat,skills,if the data is kept confidential,0
829,email,skills,no condition,1
829,call assistant,skills,if the data is kept confidential,1
829,email,your children,no condition,1
829,video call,advertising agencies,if the data is anonymous,1
829,video call,advertising agencies,if you can delete or review the data,1
829,call assistant,skills,if you are notified,1
829,shopping,assistant provider,no condition,0
829,thermostat,law enforcement agencies,no condition,0
829,shopping,skills,no condition,0
829,email,skills,if the data is stored for as long as necessary for the purpose,1
829,call assistant,assistant provider,if you are notified,1
829,banking,skills,if the data is stored for as long as necessary for the purpose,0
829,call assistant,skills,if the data is stored for as long as necessary for the purpose,1
829,email,your friends,no condition,1
829,shopping,law enforcement agencies,no condition,0
829,call assistant,law enforcement agencies,if you can delete or review the data,0
829,email,neighbours,no condition,1
829,video call,assistant provider,if the data is anonymous,1
829,video call,law enforcement agencies,no condition,1
829,shopping,visitors in general,no condition,0
829,banking,assistant provider,if the data is anonymous,0
829,call assistant,law enforcement agencies,if the data is stored for as long as necessary for the purpose,0
829,shopping,assistant provider,no condition,0
829,video call,advertising agencies,no condition,1
829,call assistant,law enforcement agencies,if you are notified,0
829,banking,skills,if the data is kept confidential,0
829,video call,your children,no condition,0
829,banking,assistant provider,if you can delete or review the data,0
829,thermostat,skills,no condition,0
829,email,skills,if the data is anonymous,1
829,email,assistant provider,if the data is stored for as long as necessary for the purpose,1
829,banking,skills,if you can delete or review the data,0
829,video call,house keeper/helper,no condition,0
829,video call,skills,no condition,1
829,banking,skills,if you can delete or review the data,0
621,location,neighbours,no condition,0
621,location,your children,no condition,0
621,playlists,skills,if you are notified,0
621,playlists,law enforcement agencies,if the data is stored for as long as necessary for the purpose,0
621,thermostat,skills,if the data is kept confidential,0
621,thermostat,skills,no condition,1
621,thermostat,law enforcement agencies,if the data is anonymous,0
621,camera,visitors in general,no condition,1
621,voice recording,advertising agencies,no condition,1
621,banking,assistant provider,if you can delete or review the data,0
621,playlists,skills,if you are notified,0
621,location,your siblings,no condition,0
621,location,advertising agencies,if you can delete or review the data,0
621,thermostat,skills,if the data is anonymous,0
621,camera,skills,if the data is stored for as long as necessary for the purpose,0
621,banking,skills,if the data is kept confidential,0
621,camera,skills,if the data is anonymous,0
621,camera,neighbours,no condition,1
621,banking,house keeper/helper,no condition,1
621,thermostat,skills,if the data is stored for as long as necessary for the purpose,0
621,thermostat,skills,if the data is anonymous,0
621,banking,skills,if you are notified,0
621,voice recording,your housemates,no condition,0
621,location,assistant provider,if you can delete or review the data,0
621,voice recording,advertising agencies,if you are notified,0
621,banking,skills,if the data is stored for as long as necessary for the purpose,0
621,location,your siblings,no condition,0
621,thermostat,advertising agencies,if you can delete or review the data,0
621,playlists,law enforcement agencies,no condition,0
621,camera,skills,no condition,1
621,playlists,law enforcement agencies,if you can delete or review the data,0
621,playlists,law enforcement agencies,if you are notified,0
621,location,assistant provider,if you are notified,0
621,thermostat,law enforcement agencies,if the data is stored for as long as necessary for the purpose,0
621,playlists,advertising agencies,no condition,0
621,thermostat,law enforcement agencies,no condition,0
621,location,visitors in general,no condition,1
621,voice recording,skills,if the data is stored for as long as necessary for the purpose,0
621,voice recording,your friends,no condition,0
621,playlists,skills,if the data is stored for as long as necessary for the purpose,0
621,camera,your partner,no condition,0
621,playlists,law enforcement agencies,no condition,0
621,banking,skills,if the data is anonymous,0
621,location,house keeper/helper,no condition,1
621,camera,visitors in general,no condition,1
621,camera,your friends,no condition,1
976,todo,your partner,no condition,0
976,healthcare,assistant provider,if the data is anonymous,1
976,video call,law enforcement agencies,if you can delete or review the data,1
976,todo,law enforcement agencies,if the data is anonymous,1
976,sleep hours,skills,no condition,1
976,sleep hours,advertising agencies,if the data is kept confidential,1
976,todo,your siblings,no condition,0
976,healthcare,visitors in general,no condition,1
976,email,advertising agencies,if the data is stored for as long as necessary for the purpose,1
976,healthcare,your housemates,no condition,1
976,healthcare,law enforcement agencies,if you can delete or review the data,1
976,thermostat,law enforcement agencies,if you are notified,1
976,todo,advertising agencies,if you can delete or review the data,1
976,todo,skills,no condition,1
976,email,law enforcement agencies,if the data is anonymous,1
976,email,your siblings,no condition,1
976,thermostat,skills,no condition,1
976,thermostat,assistant provider,if the data is anonymous,1
976,todo,your housemates,no condition,0
976,todo,skills,if the data is kept confidential,1
976,sleep hours,skills,if you can delete or review the data,0
976,healthcare,skills,if you can delete or review the data,1
976,thermostat,law enforcement agencies,no condition,1
976,sleep hours,skills,no condition,1
976,email,your housemates,no condition,1
976,todo,law enforcement agencies,no condition,1
976,todo,advertising agencies,if you are notified,1
